timestamp,flow_m3_s,flow_normalized,P_MW
2025-06-21 17:15:00+00:00,174.61125,0.5078693014014929,0.7539346507007465
2025-06-21 17:30:00+00:00,174.5595,0.5073135370241101,0.753656768512055
2025-06-21 17:45:00+00:00,174.50775,0.5067577726467271,0.7533788863233635
2025-06-21 18:00:00+00:00,174.456,0.5062020082693443,0.7531010041346722
2025-06-21 18:15:00+00:00,177.0405,0.5339580089137089,0.7669790044568545
2025-06-21 18:30:00+00:00,179.625,0.5617140095580733,0.7808570047790366
2025-06-21 18:45:00+00:00,182.2095,0.5894700102024377,0.7947350051012189
2025-06-21 19:00:00+00:00,184.794,0.6172260108468024,0.8086130054234012
2025-06-21 19:15:00+00:00,187.42350000000002,0.6454652848628042,0.8227326424314021
2025-06-21 19:30:00+00:00,190.053,0.6737045588788058,0.8368522794394029
2025-06-21 19:45:00+00:00,192.6825,0.7019438328948076,0.8509719164474038
